                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1234,                 1.0351,                  1.044,                0.89976,                0.87931,                 0.9277,                0.62462,                 1.0719,                0.67122,                0.99969,              0.0033277,              0.0033277,              0.0033277
                      2,                 1.1942,                0.78922,                  1.065,                0.86396,                0.83632,                0.89963,                0.56509,                 1.1881,                 0.7919,                 1.0733,               0.006595,               0.006595,               0.006595
                      3,                 1.3578,                0.96592,                 1.1437,                 0.7879,                0.75503,                0.80985,                0.48115,                 1.3672,                0.98543,                 1.1826,              0.0097964,              0.0097964,              0.0097964
                      4,                 1.4406,                 1.0357,                 1.2074,                  0.836,                0.77458,                0.84643,                0.50048,                  1.331,                0.92195,                 1.1782,               0.009703,               0.009703,               0.009703
                      5,                 1.3951,                0.96618,                 1.1882,                0.86193,                0.78301,                0.87308,                0.53576,                 1.2748,                0.88423,                 1.1424,               0.009703,               0.009703,               0.009703
                      6,                 1.3159,                0.88957,                 1.1606,                0.85628,                0.84379,                0.89798,                0.56946,                 1.2333,                0.78112,                 1.1204,               0.009604,               0.009604,               0.009604
                      7,                 1.2803,                0.84887,                   1.14,                0.86519,                0.87687,                0.91497,                0.59239,                 1.1612,                0.74182,                 1.0944,               0.009505,               0.009505,               0.009505
                      8,                 1.2463,                0.81971,                 1.1276,                0.91187,                0.85677,                0.92835,                0.61324,                 1.1281,                0.69817,                 1.0819,               0.009406,               0.009406,               0.009406
                      9,                 1.2164,                0.78725,                 1.1086,                0.91564,                0.90295,                0.94606,                0.63288,                 1.1128,                0.66665,                 1.0657,               0.009307,               0.009307,               0.009307
                     10,                 1.1901,                0.76188,                 1.0961,                0.91977,                0.90813,                0.94931,                0.63985,                 1.0803,                0.63914,                  1.049,               0.009208,               0.009208,               0.009208
                     11,                 1.1624,                0.73416,                 1.0837,                0.91503,                0.89692,                 0.9513,                0.64972,                 1.0722,                0.62385,                 1.0437,               0.009109,               0.009109,               0.009109
                     12,                 1.1475,                0.72308,                 1.0731,                0.92845,                0.91419,                0.95721,                0.65819,                 1.0445,                0.61082,                 1.0298,                0.00901,                0.00901,                0.00901
                     13,                 1.1273,                0.70288,                 1.0613,                0.93903,                0.91062,                0.95956,                  0.666,                 1.0319,                0.58744,                 1.0208,               0.008911,               0.008911,               0.008911
                     14,                   1.11,                0.68056,                 1.0591,                0.92782,                0.93042,                 0.9626,                0.67724,                 1.0186,                0.58063,                 1.0109,               0.008812,               0.008812,               0.008812
                     15,                 1.0934,                0.66798,                 1.0498,                0.93488,                0.92701,                0.96283,                0.68092,                 1.0064,                0.57249,                 1.0107,               0.008713,               0.008713,               0.008713
                     16,                 1.0929,                0.66273,                 1.0469,                0.94159,                0.92896,                0.97086,                0.68842,                0.99552,                0.55615,                 1.0039,               0.008614,               0.008614,               0.008614
                     17,                 1.0625,                0.64082,                  1.037,                0.95612,                0.93893,                0.97561,                0.69561,                0.98201,                0.53968,                 0.9941,               0.008515,               0.008515,               0.008515
                     18,                 1.0657,                0.63774,                 1.0341,                0.95707,                0.93853,                0.97455,                0.70318,                0.97103,                0.53849,                 0.9949,               0.008416,               0.008416,               0.008416
                     19,                  1.045,                0.63005,                 1.0282,                0.95433,                0.93862,                0.97295,                0.70731,                0.95588,                0.52156,                0.99037,               0.008317,               0.008317,               0.008317
                     20,                 1.0304,                0.61651,                 1.0212,                0.95256,                0.93253,                0.97162,                0.70768,                0.95098,                0.51901,                0.98597,               0.008218,               0.008218,               0.008218
                     21,                 1.0249,                0.60405,                 1.0189,                0.94514,                0.94635,                0.97727,                 0.7157,                0.93455,                0.50343,                0.98019,               0.008119,               0.008119,               0.008119
                     22,                 1.0175,                 0.6025,                 1.0119,                0.96018,                0.94309,                0.98055,                0.71819,                 0.9384,                0.50003,                0.97619,                0.00802,                0.00802,                0.00802
                     23,                 1.0185,                0.59667,                 1.0099,                0.96267,                0.94254,                0.97893,                0.72395,                0.93434,                0.49802,                0.97218,               0.007921,               0.007921,               0.007921
                     24,                 1.0053,                0.58887,                 1.0068,                0.95655,                0.94819,                0.97962,                0.72249,                 0.9259,                0.49559,                0.97595,               0.007822,               0.007822,               0.007822
                     25,                0.99153,                0.57489,                 1.0038,                0.95622,                  0.947,                0.98117,                0.72682,                0.91601,                0.48712,                0.96464,               0.007723,               0.007723,               0.007723
                     26,                0.99397,                0.57707,                 1.0026,                0.96111,                0.95216,                0.98094,                0.73534,                0.90591,                0.47067,                0.97068,               0.007624,               0.007624,               0.007624
                     27,                0.97907,                0.56904,                0.99761,                 0.9601,                 0.9471,                0.98234,                0.73271,                0.90662,                0.47708,                0.96769,               0.007525,               0.007525,               0.007525
                     28,                0.96679,                0.56231,                0.99264,                0.95639,                0.95052,                0.98022,                0.73456,                0.90581,                0.47426,                0.96173,               0.007426,               0.007426,               0.007426
                     29,                0.96046,                0.55661,                0.98876,                0.96338,                0.95353,                 0.9838,                 0.7351,                0.90323,                0.46428,                0.96011,               0.007327,               0.007327,               0.007327
                     30,                0.95938,                0.54829,                0.98955,                0.96316,                0.95329,                 0.9824,                0.74319,                0.88345,                0.45785,                0.95715,               0.007228,               0.007228,               0.007228
                     31,                0.94737,                0.54112,                0.98372,                0.96895,                0.96105,                0.98496,                0.74503,                0.88694,                0.45147,                0.95946,               0.007129,               0.007129,               0.007129
                     32,                0.94806,                0.54298,                0.98493,                0.96496,                0.95949,                0.98444,                0.74352,                0.88042,                0.44835,                0.95882,                0.00703,                0.00703,                0.00703
                     33,                0.94148,                0.54056,                0.98062,                0.96498,                0.95903,                0.98563,                0.75148,                0.87302,                0.44525,                0.94768,               0.006931,               0.006931,               0.006931
                     34,                 0.9357,                0.53223,                0.97869,                0.96645,                0.95881,                0.98559,                0.75145,                   0.87,                0.43816,                0.95189,               0.006832,               0.006832,               0.006832
                     35,                0.92917,                0.52648,                0.97733,                0.96513,                0.96202,                0.98608,                0.75301,                0.86467,                0.43294,                0.95159,               0.006733,               0.006733,               0.006733
                     36,                0.92894,                0.52502,                0.97315,                 0.9711,                0.96091,                0.98708,                0.75571,                0.86729,                0.42666,                 0.9494,               0.006634,               0.006634,               0.006634
                     37,                0.91772,                0.51736,                0.97065,                0.96435,                 0.9691,                0.98652,                0.75612,                0.86474,                0.42958,                0.94328,               0.006535,               0.006535,               0.006535
                     38,                0.91058,                0.51603,                 0.9694,                0.96806,                0.96913,                0.98839,                 0.7625,                0.85212,                0.41851,                0.94199,               0.006436,               0.006436,               0.006436
                     39,                 0.9008,                0.50842,                0.96719,                0.97421,                0.96319,                0.98755,                0.76627,                0.85161,                0.42064,                0.94027,               0.006337,               0.006337,               0.006337
                     40,                0.90049,                 0.5057,                0.96462,                0.97035,                0.96491,                 0.9873,                0.76394,                0.85067,                0.41476,                0.93944,               0.006238,               0.006238,               0.006238
                     41,                0.89938,                0.50458,                0.96266,                0.96932,                0.96531,                0.98698,                0.76714,                0.84299,                0.41255,                0.93807,               0.006139,               0.006139,               0.006139
                     42,                0.88936,                0.49604,                0.96085,                0.96876,                 0.9665,                0.98515,                0.76908,                0.83707,                0.41007,                0.93975,                0.00604,                0.00604,                0.00604
                     43,                0.87943,                0.49205,                0.95717,                0.96821,                0.96785,                0.98729,                0.76796,                0.83848,                 0.4104,                0.93888,               0.005941,               0.005941,               0.005941
                     44,                0.87528,                0.48729,                0.95536,                 0.9683,                0.96862,                0.98858,                0.77292,                0.83256,                0.40006,                0.93516,               0.005842,               0.005842,               0.005842
                     45,                0.87545,                0.48749,                0.95617,                0.97354,                0.96638,                0.98902,                0.77406,                0.83228,                0.40028,                0.93465,               0.005743,               0.005743,               0.005743
